Date,Time,Easting,Northing
2024-09-19,21:03:28.584,461921.0345,6431232.5207
2024-09-19,21:03:30.414,461924.6082,6431232.2574
2024-09-19,21:03:34.068,461932.8253,6431232.1090
2024-09-19,21:03:35.915,461936.8992,6431231.6343
2024-09-19,21:03:37.754,461940.4053,6431231.9243
2024-09-19,21:03:39.605,461943.9748,6431231.5707
2024-09-19,21:03:41.445,461947.4139,6431231.7592
2024-09-19,21:03:43.289,461950.8563,6431231.4723
2024-09-19,21:03:45.118,461954.2632,6431231.4702
2024-09-19,21:03:46.956,461957.7160,6431231.4236
2024-09-19,21:03:50.612,461964.5854,6431231.2457
2024-09-19,21:03:52.475,461968.0856,6431231.1206
2024-09-19,21:03:54.328,461971.4904,6431231.2286
2024-09-19,21:03:56.165,461974.9344,6431231.3225
2024-09-19,21:03:58.017,461978.3833,6431231.2026
2024-09-19,21:03:59.841,461981.9311,6431231.1233
2024-09-19,21:04:01.699,461985.5645,6431230.6554
2024-09-19,21:04:03.529,461989.1213,6431230.7204
2024-09-19,21:04:05.376,461992.7549,6431230.7252
2024-09-19,21:04:07.217,461996.3115,6431230.5065
2024-09-19,21:04:09.062,461999.9109,6431230.2948
2024-09-19,21:04:10.908,462003.6199,6431230.3822
2024-09-19,21:04:12.754,462007.6660,6431230.1002
2024-09-19,21:04:14.593,462011.2999,6431230.2960
2024-09-19,21:04:16.443,462015.3738,6431229.9192
2024-09-19,21:04:18.280,462019.1575,6431230.0538
2024-09-19,21:04:20.132,462023.1354,6431230.2711
2024-09-19,21:04:21.963,462027.2701,6431229.8929
2024-09-19,21:04:23.802,462031.1904,6431228.7235
2024-09-19,21:04:25.646,462035.0493,6431229.4302
2024-09-19,21:04:27.494,462039.0852,6431229.3949
2024-09-19,21:04:29.334,462043.1190,6431229.0445
2024-09-19,21:04:31.179,462046.9731,6431230.0141
2024-09-19,21:04:33.034,462050.9474,6431229.2063
2024-09-19,21:04:34.869,462055.0876,6431228.9248
2024-09-19,21:04:36.702,462059.0178,6431228.6170
2024-09-19,21:04:38.542,462062.7827,6431228.7483
2024-09-19,21:04:40.387,462066.6397,6431228.8470
2024-09-19,21:04:42.219,462070.5435,6431228.3329
2024-09-19,21:04:44.060,462074.6702,6431228.2423
2024-09-19,21:04:45.901,462078.7752,6431228.1155
2024-09-19,21:04:47.731,462082.6847,6431228.4247
2024-09-19,21:04:49.594,462086.6722,6431228.0028
2024-09-19,21:04:51.421,462090.7156,6431228.0030
2024-09-19,21:04:53.268,462094.8535,6431227.9040
2024-09-19,21:04:55.126,462098.9433,6431227.5155
2024-09-19,21:04:56.967,462102.7709,6431226.8362
2024-09-19,21:04:58.824,462106.8836,6431227.5285
2024-09-19,21:05:00.649,462110.8592,6431227.3106
2024-09-19,21:05:02.492,462114.8084,6431227.1459
2024-09-19,21:05:06.139,462122.8108,6431226.8617
2024-09-19,21:05:07.999,462126.6841,6431226.7736
2024-09-19,21:05:09.843,462130.8837,6431226.6783
2024-09-19,21:05:11.685,462135.0191,6431226.6533
2024-09-19,21:05:13.536,462139.0663,6431226.1166
2024-09-19,21:05:15.370,462142.8035,6431225.9874
2024-09-19,21:05:17.209,462146.5684,6431226.1909
2024-09-19,21:05:19.050,462150.6282,6431225.7532
2024-09-19,21:05:20.910,462154.8409,6431225.7715
2024-09-19,21:05:22.743,462159.0162,6431225.6259
2024-09-19,21:05:24.587,462163.1599,6431225.6389
2024-09-19,21:05:26.432,462167.3209,6431224.9073
2024-09-19,21:05:28.265,462171.4646,6431225.0947
2024-09-19,21:05:30.115,462175.5417,6431225.0203
2024-09-19,21:05:31.944,462179.6412,6431225.0512
2024-09-19,21:05:33.806,462183.8286,6431224.9921
2024-09-19,21:05:35.631,462187.9377,6431224.8642
2024-09-19,21:05:39.295,462196.1877,6431224.1713
2024-09-19,21:05:41.141,462200.3388,6431223.7914
2024-09-19,21:05:42.988,462204.5408,6431223.9058
2024-09-19,21:05:44.821,462208.6447,6431223.9300
2024-09-19,21:05:46.659,462212.7168,6431224.4868
2024-09-19,21:05:48.508,462216.9939,6431223.6287
2024-09-19,21:05:50.337,462221.1116,6431223.4166
2024-09-19,21:05:52.191,462225.3119,6431223.0346
2024-09-19,21:05:54.025,462229.4665,6431222.9962
2024-09-19,21:05:55.878,462233.6337,6431223.1873
2024-09-19,21:05:57.715,462237.7712,6431222.9029
2024-09-19,21:05:59.583,462242.0024,6431222.9805
2024-09-19,21:06:01.399,462246.2125,6431222.7237
2024-09-19,21:06:03.241,462250.3947,6431224.1876
2024-09-19,21:06:05.075,462321.7430,6431224.0775
2024-09-19,21:06:06.943,462258.7046,6431222.1244
2024-09-19,21:06:08.757,462262.7805,6431222.4090
2024-09-19,21:06:10.593,462266.8475,6431222.4136
2024-09-19,21:06:12.436,462270.9134,6431222.0185
2024-09-19,21:06:14.266,462275.0522,6431221.4775
2024-09-19,21:06:16.115,462279.2052,6431221.3266
2024-09-19,21:06:19.804,462287.5602,6431221.1469
2024-09-19,21:06:21.646,462291.5995,6431221.0245
2024-09-19,21:06:23.476,462295.7186,6431221.1091
