Date,Time,Easting,Northing,Datetime
2024-09-19,21:03:28.584,461921.034500,6431232.520700,2024-09-19 21:03:28.584
2024-09-19,21:03:30.414,461924.608200,6431232.257400,2024-09-19 21:03:30.414
2024-09-19,21:03:34.068,461932.825300,6431232.109000,2024-09-19 21:03:34.068
2024-09-19,21:03:35.915,461936.899200,6431231.634300,2024-09-19 21:03:35.915
2024-09-19,21:03:37.754,461940.405300,6431231.924300,2024-09-19 21:03:37.754
2024-09-19,21:03:39.605,461943.974800,6431231.570700,2024-09-19 21:03:39.605
2024-09-19,21:03:41.445,461947.413900,6431231.759200,2024-09-19 21:03:41.445
2024-09-19,21:03:43.289,461950.856300,6431231.472300,2024-09-19 21:03:43.289
2024-09-19,21:03:45.118,461954.263200,6431231.470200,2024-09-19 21:03:45.118
2024-09-19,21:03:46.956,461957.716000,6431231.423600,2024-09-19 21:03:46.956
2024-09-19,21:03:50.612,461964.585400,6431231.245700,2024-09-19 21:03:50.612
2024-09-19,21:03:52.475,461968.085600,6431231.120600,2024-09-19 21:03:52.475
2024-09-19,21:03:54.328,461971.490400,6431231.228600,2024-09-19 21:03:54.328
2024-09-19,21:03:56.165,461974.934400,6431231.322500,2024-09-19 21:03:56.165
2024-09-19,21:03:58.017,461978.383300,6431231.202600,2024-09-19 21:03:58.017
2024-09-19,21:03:59.841,461981.931100,6431231.123300,2024-09-19 21:03:59.841
2024-09-19,21:04:01.699,461985.564500,6431230.655400,2024-09-19 21:04:01.699
2024-09-19,21:04:03.529,461989.121300,6431230.720400,2024-09-19 21:04:03.529
2024-09-19,21:04:05.376,461992.754900,6431230.725200,2024-09-19 21:04:05.376
2024-09-19,21:04:07.217,461996.311500,6431230.506500,2024-09-19 21:04:07.217
2024-09-19,21:04:09.062,461999.910900,6431230.294800,2024-09-19 21:04:09.062
2024-09-19,21:04:10.908,462003.619900,6431230.382200,2024-09-19 21:04:10.908
2024-09-19,21:04:12.754,462007.666000,6431230.100200,2024-09-19 21:04:12.754
2024-09-19,21:04:14.593,462011.299900,6431230.296000,2024-09-19 21:04:14.593
2024-09-19,21:04:16.443,462015.373800,6431229.919200,2024-09-19 21:04:16.443
2024-09-19,21:04:18.280,462019.157500,6431230.053800,2024-09-19 21:04:18.280
2024-09-19,21:04:20.132,462023.135400,6431230.271100,2024-09-19 21:04:20.132
2024-09-19,21:04:21.963,462027.270100,6431229.892900,2024-09-19 21:04:21.963
2024-09-19,21:04:23.802,462031.190400,6431228.723500,2024-09-19 21:04:23.802
2024-09-19,21:04:25.646,462035.049300,6431229.430200,2024-09-19 21:04:25.646
2024-09-19,21:04:27.494,462039.085200,6431229.394900,2024-09-19 21:04:27.494
2024-09-19,21:04:29.334,462043.119000,6431229.044500,2024-09-19 21:04:29.334
