Date,Sonardyne Time,SSS CoG Easting,SSS CoG Northing,Sonardyne X,Sonardyne Y,Sonardyne Z,Sonardyne Range
2024-08-30,23:14:47.291,491090.5529,6454792.4242,0.20,-48.50,7.90,48.50
2024-08-30,23:14:49.120,491094.9696,6454791.7171,0.90,-48.50,2.90,48.51
2024-08-30,23:14:58.298,491117.4684,6454792.6419,1.10,-49.00,3.00,49.01
2024-08-30,23:15:05.655,491135.2911,6454794.8349,0.10,-49.30,3.40,49.30
2024-08-30,23:15:07.503,491140.4564,6454794.3893,1.00,-48.70,3.30,48.71
2024-08-30,23:15:09.337,491145.1021,6454793.9813,1.80,-48.60,3.20,48.63
2024-08-30,23:15:11.171,491149.5929,6454794.7882,1.40,-48.60,3.10,48.62
2024-08-30,23:15:13.019,491154.8322,6454794.1645,2.50,-47.90,3.20,47.97
2024-08-30,23:15:14.845,491159.0792,6454796.4945,0.50,-48.00,3.20,48.00
2024-08-30,23:15:16.674,491163.7626,6454794.8618,2.50,-47.90,3.10,47.97
2024-08-30,23:15:18.508,491168.2367,6454795.9180,1.80,-47.90,3.20,47.93
2024-08-30,23:15:20.345,491172.6691,6454796.3202,1.60,-47.90,3.10,47.93
2024-08-30,23:15:24.028,491180.9767,6454797.3745,1.00,-48.60,3.50,48.61
2024-08-30,23:15:25.866,491185.3014,6454797.3644,1.20,-48.70,3.20,48.71
2024-08-30,23:15:27.707,491189.6166,6454798.9181,-0.20,-48.80,3.70,48.80
2024-08-30,23:15:31.384,491198.0869,6454796.7545,2.20,-49.40,3.20,49.45
2024-08-30,23:15:33.211,491203.1505,6454799.2432,0.00,-48.70,3.70,48.70
2024-08-30,23:15:36.875,491211.6518,6454799.5743,0.00,-49.00,2.10,49.00
2024-08-30,23:15:42.378,491225.9039,6454797.8887,2.80,-48.40,7.70,48.48
2024-08-30,23:15:44.222,491230.5423,6454799.0905,2.00,-48.00,3.20,48.04
2024-08-30,23:15:46.051,491234.8126,6454801.8077,-0.40,-48.00,3.40,48.00
2024-08-30,23:15:47.891,491239.1913,6454801.7190,0.20,-48.10,3.40,48.10
2024-08-30,23:15:49.717,491242.7027,6454802.5978,-0.50,-48.90,3.40,48.90
2024-08-30,23:15:53.393,491252.1415,6454801.4080,1.40,-48.40,3.60,48.42
2024-08-30,23:15:57.057,491260.9503,6454801.7200,1.60,-48.40,3.50,48.43
2024-08-30,23:16:00.736,491269.6885,6454802.1167,1.60,-48.50,3.30,48.53
2024-08-30,23:16:02.568,491272.7191,6454801.6809,2.00,-49.90,3.60,49.94
2024-08-30,23:16:04.398,491277.7708,6454802.9871,0.90,-49.20,3.80,49.21
2024-08-30,23:16:06.238,491283.4742,6454802.7267,1.50,-48.10,7.30,48.12
2024-08-30,23:16:11.741,491295.3029,6454804.9951,-0.30,-49.30,3.70,49.30
2024-08-30,23:16:13.583,491300.5449,6454804.4100,0.50,-48.50,3.30,48.50
2024-08-30,23:16:15.405,491304.9286,6454803.8893,1.40,-48.60,3.30,48.62
2024-08-30,23:16:17.251,491309.4458,6454804.8923,0.70,-48.50,3.30,48.51
2024-08-30,23:16:19.082,491313.8227,6454804.4082,1.50,-48.60,3.60,48.62
2024-08-30,23:16:20.927,491317.7153,6454805.8604,0.40,-49.10,4.00,49.10
2024-08-30,23:16:22.746,491321.8754,6454805.8799,0.60,-49.40,4.30,49.40
2024-08-30,23:16:24.590,491326.2284,6454806.9230,-0.10,-49.50,4.20,49.50
2024-08-30,23:16:26.430,491330.7410,6454806.3440,0.80,-49.50,4.00,49.51
2024-08-30,23:16:28.267,491335.0732,6454806.7965,0.50,-49.60,4.00,49.60
2024-08-30,23:16:30.105,491339.5544,6454806.5400,1.10,-49.60,3.90,49.61
2024-08-30,23:16:33.791,491348.5129,6454808.1430,-0.10,-49.60,3.90,49.60
2024-08-30,23:16:35.621,491352.9010,6454808.0131,0.40,-49.70,3.80,49.70
2024-08-30,23:16:47.059,491380.9871,6454808.7376,1.10,-49.80,3.50,49.81
2024-08-30,23:16:48.896,491385.4538,6454809.9106,0.20,-49.80,3.50,49.80
2024-08-30,23:16:52.561,491394.5261,6454810.3576,0.30,-49.80,3.70,49.80
2024-08-30,23:16:54.413,491399.1759,6454809.9519,1.00,-49.80,3.60,49.81
2024-08-30,23:16:58.095,491408.2293,6454812.3452,-0.90,-49.80,3.70,49.81
2024-08-30,23:17:03.584,491421.2548,6454810.0988,2.00,-50.60,3.60,50.64
2024-08-30,23:17:05.425,491425.7324,6454811.8870,0.40,-50.60,3.60,50.60
2024-08-30,23:17:07.260,491431.6798,6454811.9466,0.70,-49.40,7.70,49.40
2024-08-30,23:17:09.084,491435.5810,6454812.3757,0.40,-49.90,3.50,49.90
2024-08-30,23:17:10.925,491439.4428,6454812.9734,0.00,-50.60,4.00,50.60
2024-08-30,23:17:14.592,491448.9803,6454813.1257,0.30,-50.30,3.80,50.30
2024-08-30,23:17:16.423,491453.0811,6454813.2474,0.40,-50.80,3.80,50.80
2024-08-30,23:17:20.145,491461.5805,6454814.5797,-0.50,-51.60,4.50,51.60
2024-08-30,23:17:21.978,491465.4852,6454813.0087,1.30,-52.40,4.70,52.42
2024-08-30,23:17:25.667,491475.2757,6454814.3582,0.60,-51.80,4.10,51.80
2024-08-30,23:17:27.500,491480.0017,6454814.4874,0.70,-51.70,4.20,51.70
