Date,Sonardyne Time,SSS CoG Easting,SSS CoG Northing,Sonardyne X,Sonardyne Y,Sonardyne Z,Sonardyne Range
2024-09-15,01:39:30.037,475815.1869,6439300.8993,-12.70,-91.60,20.80,92.48
2024-09-15,01:39:31.868,475818.4544,6439303.3507,-12.80,-90.70,20.60,91.60
2024-09-15,01:39:33.710,475821.8645,6439305.6477,-12.70,-90.40,20.60,91.29
2024-09-15,01:39:40.569,475834.9423,6439313.1012,-13.00,-90.30,20.90,91.23
2024-09-15,01:39:41.316,475835.6781,6439314.6958,-13.70,-90.00,20.70,91.04
2024-09-15,01:39:43.157,475839.9960,6439316.5153,-13.60,-90.10,20.90,91.12
2024-09-15,01:39:45.017,475841.6420,6439320.1205,-15.20,-89.80,20.60,91.08
2024-09-15,01:39:46.854,475846.3642,6439321.7128,-13.90,-90.20,20.80,91.26
2024-09-15,01:39:48.698,475849.0971,6439324.2500,-14.00,-90.10,20.50,91.18
2024-09-15,01:39:50.522,475852.9429,6439326.3739,-12.30,-90.60,20.50,91.43
2024-09-15,01:39:52.354,475856.7629,6439328.4785,-11.50,-90.80,20.60,91.53
2024-09-15,01:39:54.207,475858.6068,6439332.4668,-11.70,-91.00,20.50,91.75
2024-09-15,01:39:56.040,475862.2898,6439334.4929,-9.90,-91.40,20.30,91.93
2024-09-15,01:39:57.868,475865.5699,6439337.4219,-8.60,-91.50,20.30,91.90
2024-09-15,01:39:59.710,475869.5082,6439339.2635,-6.80,-92.00,20.30,92.25
2024-09-15,01:40:01.564,475872.1737,6439342.6762,-6.60,-92.50,20.40,92.74
2024-09-15,01:40:03.405,475875.6811,6439344.5454,-5.30,-93.10,20.20,93.25
2024-09-15,01:40:05.242,475878.2390,6439347.6182,-5.20,-93.50,20.20,93.64
2024-09-15,01:40:07.084,475881.9976,6439350.3110,-4.70,-93.70,20.30,93.82
2024-09-15,01:40:08.931,475885.1833,6439352.8098,-4.90,-94.20,20.00,94.33
2024-09-15,01:40:10.765,475888.0228,6439356.1701,-5.30,-94.70,20.20,94.85
2024-09-15,01:40:12.622,475890.7485,6439358.5872,-5.40,-95.20,20.20,95.35
2024-09-15,01:40:14.461,475894.0664,6439361.1133,-4.90,-96.20,20.40,96.32
2024-09-15,01:40:16.302,475896.3988,6439364.1750,-5.50,-96.60,20.50,96.76
2024-09-15,01:40:18.137,475895.5594,6439369.9932,-9.70,-97.40,20.50,97.88
2024-09-15,01:40:19.975,475902.3932,6439369.4439,-4.60,-98.20,20.30,98.31
2024-09-15,01:40:21.822,475905.1127,6439373.0775,-3.90,-98.60,20.20,98.68
2024-09-15,01:40:23.671,475908.8081,6439375.6401,-3.00,-98.90,20.10,98.95
2024-09-15,01:40:25.510,475911.4708,6439379.4636,-2.80,-99.20,19.90,99.24
2024-09-15,01:40:27.332,475914.7200,6439382.2343,-2.30,-99.60,20.00,99.63
2024-09-15,01:40:29.182,475917.3999,6439385.4379,-0.30,-100.60,20.40,100.60
2024-09-15,01:40:31.015,475919.9069,6439388.1982,-0.40,-101.00,20.40,101.00
2024-09-15,01:40:32.855,475923.7986,6439390.8906,1.80,-101.60,20.30,101.62
2024-09-15,01:40:34.717,475926.7859,6439394.2850,0.60,-101.70,20.40,101.70
2024-09-15,01:40:36.563,475930.0114,6439397.2073,0.90,-102.20,20.30,102.20
2024-09-15,01:40:38.398,475932.0881,6439401.3299,-2.40,-102.50,20.30,102.53
2024-09-15,01:40:40.239,475935.3330,6439404.0356,-3.50,-102.70,20.20,102.76
2024-09-15,01:40:42.072,475937.8563,6439407.8741,-5.10,-102.90,20.30,103.03
2024-09-15,01:40:43.913,475941.8824,6439410.3245,-6.90,-103.00,20.30,103.23
2024-09-15,01:40:45.767,475944.1441,6439414.1013,-7.60,-103.20,20.30,103.48
2024-09-15,01:40:47.612,475948.2327,6439416.7972,-8.10,-103.50,20.60,103.82
2024-09-15,01:40:49.462,475949.0192,6439421.3808,-10.80,-103.40,20.60,103.96
2024-09-15,01:40:51.309,475954.5869,6439422.7430,-7.70,-104.10,20.70,104.38
2024-09-15,01:40:53.154,475957.4715,6439426.1757,-8.10,-104.10,20.70,104.41
2024-09-15,01:40:54.976,475960.4910,6439429.4187,-7.20,-104.30,20.70,104.55
2024-09-15,01:40:56.832,475962.8747,6439433.9688,-7.20,-104.20,21.00,104.45
2024-09-15,01:40:58.672,475967.2565,6439435.8205,-4.60,-104.50,20.80,104.60
2024-09-15,01:41:00.522,475969.4222,6439440.1586,-4.60,-104.50,21.00,104.60
2024-09-15,01:41:02.350,475973.3988,6439442.9460,-2.50,-104.50,21.00,104.53
2024-09-15,01:41:04.187,475976.3912,6439446.7138,-2.70,-104.50,20.80,104.53
2024-09-15,01:41:06.026,475979.9142,6439449.9409,-1.30,-104.10,20.70,104.11
2024-09-15,01:41:07.870,475983.1278,6439453.8433,-1.50,-104.10,20.70,104.11
2024-09-15,01:41:09.702,475986.0808,6439457.1789,-1.80,-104.00,20.70,104.02
2024-09-15,01:41:11.544,475989.3535,6439460.7577,-1.70,-104.00,20.70,104.01
2024-09-15,01:41:13.390,475992.9023,6439463.5439,-1.30,-104.20,20.50,104.21
2024-09-15,01:41:15.227,475994.7358,6439468.2907,-3.30,-104.00,20.50,104.05
2024-09-15,01:41:17.056,475998.8017,6439470.8971,-2.40,-104.10,20.40,104.13
2024-09-15,01:41:18.899,476001.6346,6439474.5269,-2.80,-104.20,20.40,104.24
2024-09-15,01:41:20.747,476027.1895,6439506.3177,-1.10,-69.90,80.90,69.91
2024-09-15,01:41:22.602,476007.9035,6439480.8716,-1.80,-104.80,20.50,104.82
2024-09-15,01:41:24.422,476011.6407,6439483.5552,-1.10,-104.80,20.30,104.81
2024-09-15,01:41:26.261,476013.3085,6439488.3498,-2.40,-104.90,20.40,104.93
2024-09-15,01:41:28.119,476017.4002,6439491.2577,-1.80,-104.80,20.40,104.82
2024-09-15,01:41:29.959,476021.1152,6439493.9766,-0.60,-105.00,20.50,105.00
2024-09-15,01:41:31.807,476023.8428,6439497.8655,-1.60,-105.10,20.80,105.11
2024-09-15,01:41:33.651,476026.4293,6439501.4343,-2.40,-105.10,20.50,105.13
2024-09-15,01:41:39.162,476036.3020,6439511.6644,-2.90,-105.10,20.60,105.14
2024-09-15,01:41:41.001,476040.7184,6439514.5107,-1.40,-105.10,20.50,105.11
2024-09-15,01:41:42.841,476043.4298,6439518.0246,-2.20,-105.10,20.40,105.12
2024-09-15,01:41:44.682,476045.7438,6439522.2097,-2.60,-105.20,20.40,105.23
2024-09-15,01:41:46.522,476049.1707,6439525.5110,-2.40,-105.10,20.40,105.13
2024-09-15,01:41:48.363,476052.4930,6439528.8102,-2.00,-105.20,20.40,105.22
2024-09-15,01:41:50.193,476055.6221,6439532.3381,-1.80,-105.30,20.40,105.32
2024-09-15,01:41:52.034,476058.2225,6439536.0180,-2.40,-105.20,20.30,105.23
2024-09-15,01:41:53.886,476062.7464,6439538.6308,-1.50,-105.30,20.30,105.31
2024-09-15,01:41:55.727,476065.0988,6439542.6866,-2.20,-105.20,20.40,105.22
2024-09-15,01:41:57.575,476069.2074,6439545.4748,-2.10,-105.20,20.30,105.22
2024-09-15,01:41:59.413,476071.8391,6439549.3850,-3.10,-105.20,20.30,105.25
2024-09-15,01:42:01.257,476075.1648,6439552.8741,-3.40,-105.10,20.40,105.15
2024-09-15,01:42:03.100,476079.9453,6439558.9774,-3.80,-102.30,31.70,102.37
2024-09-15,01:42:04.929,476081.5526,6439559.6909,-3.50,-105.10,20.40,105.16
2024-09-15,01:42:06.771,476084.3530,6439563.5450,-4.30,-105.10,20.40,105.19
2024-09-15,01:42:08.624,476087.7191,6439566.8630,-3.90,-105.10,20.40,105.17
2024-09-15,01:42:10.458,476093.0623,6439572.6059,-2.90,-102.40,31.60,102.44
2024-09-15,01:42:12.298,476095.0514,6439573.0044,-1.90,-105.10,20.40,105.12
2024-09-15,01:42:14.137,476097.8889,6439576.7930,-2.00,-105.30,20.40,105.32
2024-09-15,01:42:17.815,476104.0578,6439583.7371,-1.50,-105.50,20.40,105.51
2024-09-15,01:42:19.663,476107.0489,6439587.5777,-2.80,-105.00,20.40,105.04
2024-09-15,01:42:21.493,476108.1199,6439587.4467,-2.20,-108.90,9.40,108.92
2024-09-15,01:42:23.340,476114.0040,6439593.9127,-3.20,-105.00,20.30,105.05
2024-09-15,01:42:25.182,476117.1457,6439597.4458,-3.10,-105.40,20.30,105.45
2024-09-15,01:42:27.014,476120.7231,6439600.4534,-3.90,-105.00,20.30,105.07
2024-09-15,01:42:28.859,476124.4047,6439603.2899,-3.00,-105.20,20.30,105.24
2024-09-15,01:42:35.692,476136.9960,6439615.4200,-5.00,-105.00,20.40,105.12
2024-09-15,01:42:36.467,476138.0020,6439617.3338,-6.10,-104.90,20.40,105.08
2024-09-15,01:42:38.302,476140.2128,6439621.3607,-6.60,-104.80,20.50,105.01
2024-09-15,01:42:40.155,476144.1627,6439624.6448,-6.80,-104.70,20.60,104.92
2024-09-15,01:42:41.990,476146.9490,6439627.8567,-7.20,-104.70,20.40,104.95
2024-09-15,01:42:43.824,476150.8186,6439630.9558,-5.70,-104.90,20.70,105.05
2024-09-15,01:42:45.659,476154.2585,6439634.0079,-5.50,-104.80,20.60,104.94
2024-09-15,01:42:47.509,476156.4390,6439638.1462,-6.10,-104.80,20.70,104.98
2024-09-15,01:42:49.340,476161.1389,6439640.9707,-4.00,-104.60,20.60,104.68
2024-09-15,01:42:51.191,476163.5061,6439644.9930,-4.90,-104.40,20.40,104.51
2024-09-15,01:42:53.027,476166.8815,6439648.7486,-3.80,-104.20,20.50,104.27
2024-09-15,01:42:54.873,476170.3695,6439652.0557,-3.60,-103.90,20.30,103.96
2024-09-15,01:42:56.707,476173.2628,6439655.8950,-4.00,-103.90,20.40,103.98
2024-09-15,01:42:58.561,476176.5072,6439659.1636,-3.20,-103.90,20.30,103.95
2024-09-15,01:43:00.400,476180.7355,6439661.8878,-2.40,-104.00,20.30,104.03
2024-09-15,01:43:02.240,476183.7284,6439665.4248,-2.80,-103.90,20.30,103.94
2024-09-15,01:43:04.070,476186.8789,6439668.9283,-2.20,-104.10,20.30,104.12
2024-09-15,01:43:05.910,476190.0484,6439672.2136,-3.00,-103.90,20.10,103.94
2024-09-15,01:43:07.755,476193.2395,6439675.9742,-2.40,-104.00,20.30,104.03
2024-09-15,01:43:09.582,476196.7219,6439678.6716,-2.50,-104.20,20.30,104.23
2024-09-15,01:43:11.440,476196.5999,6439679.7012,-2.40,-108.10,9.30,108.13
2024-09-15,01:43:13.276,476202.6157,6439685.6951,-1.70,-104.30,20.30,104.31
2024-09-15,01:43:15.109,476205.6067,6439688.9249,-1.60,-104.70,20.20,104.71
2024-09-15,01:43:16.949,476209.2086,6439692.5765,-1.00,-104.60,20.20,104.60
2024-09-15,01:43:18.791,476210.9317,6439696.4193,-3.10,-104.70,20.10,104.75
2024-09-15,01:43:20.638,476215.5675,6439699.0936,-1.80,-104.70,20.30,104.72
2024-09-15,01:43:22.479,476218.5344,6439702.4786,-3.00,-104.60,20.20,104.64
2024-09-15,01:43:24.318,476221.5774,6439706.1783,-4.40,-104.50,20.30,104.59
2024-09-15,01:43:26.179,476224.7979,6439709.7142,-5.00,-104.50,20.30,104.62
2024-09-15,01:43:28.025,476228.7572,6439712.3713,-5.10,-104.50,20.10,104.62
2024-09-15,01:43:29.857,476231.6055,6439716.1365,-5.10,-104.40,20.30,104.52
2024-09-15,01:43:31.709,476235.4115,6439719.2804,-5.70,-104.30,20.30,104.46
2024-09-15,01:43:33.544,476237.7121,6439723.2804,-6.20,-104.40,20.30,104.58
2024-09-15,01:43:35.368,476241.1745,6439726.6401,-5.90,-104.30,20.30,104.47
2024-09-15,01:43:37.216,476244.2329,6439729.8892,-5.50,-104.40,20.30,104.54
2024-09-15,01:43:44.054,476255.4621,6439743.2781,-5.10,-104.40,20.40,104.52
2024-09-15,01:43:44.818,476257.8158,6439744.2474,-3.90,-104.20,20.40,104.27
2024-09-15,01:43:46.683,476261.6158,6439747.2233,-3.30,-104.30,20.30,104.35
2024-09-15,01:43:48.520,476265.2296,6439750.5388,-2.40,-104.10,20.30,104.13
2024-09-15,01:43:50.353,476268.2522,6439754.2604,-2.70,-104.10,20.30,104.14
2024-09-15,01:43:52.194,476271.9058,6439757.6032,-1.90,-104.00,20.10,104.02
2024-09-15,01:43:54.025,476275.0714,6439760.9209,-2.10,-104.00,20.10,104.02
2024-09-15,01:43:55.870,476278.1848,6439764.5224,-1.40,-104.10,20.10,104.11
2024-09-15,01:43:57.709,476278.5789,6439765.0066,-2.60,-107.70,8.50,107.73
2024-09-15,01:43:59.537,476284.2602,6439771.6783,-1.90,-104.20,19.90,104.22
2024-09-15,01:44:03.224,476290.2672,6439778.7611,-2.20,-104.40,20.10,104.42
2024-09-15,01:44:05.076,476293.6425,6439781.4762,-1.50,-104.70,20.30,104.71
2024-09-15,01:44:06.926,476296.6659,6439784.5025,-1.40,-105.50,20.40,105.51
2024-09-15,01:44:08.769,476300.1205,6439787.7026,-1.00,-105.40,20.30,105.40
2024-09-15,01:44:10.607,476303.1715,6439791.2188,-1.10,-105.60,20.20,105.61
2024-09-15,01:44:12.437,476306.5106,6439794.7208,-1.20,-105.40,20.10,105.41
2024-09-15,01:44:14.291,476309.5343,6439798.4669,-1.70,-105.50,20.20,105.51
2024-09-15,01:44:16.131,476313.4194,6439801.3285,-0.60,-105.70,20.40,105.70
2024-09-15,01:44:17.959,476316.1257,6439804.9942,-1.30,-105.70,20.40,105.71
2024-09-15,01:44:19.810,476319.4643,6439808.1919,-0.90,-105.90,20.40,105.90
2024-09-15,01:44:21.650,476323.0678,6439811.6361,-0.70,-105.80,20.50,105.80
2024-09-15,01:44:23.504,476325.7415,6439815.3839,-1.70,-105.90,20.40,105.91
2024-09-15,01:44:25.335,476329.0426,6439819.0034,-1.60,-106.00,20.30,106.01
2024-09-15,01:44:27.170,476332.3724,6439822.3037,-1.60,-105.70,20.40,105.71
2024-09-15,01:44:29.012,476335.8101,6439825.6095,-1.80,-106.00,20.30,106.02
2024-09-15,01:44:30.855,476339.2530,6439828.9583,-1.90,-105.80,20.30,105.82
2024-09-15,01:44:32.690,476341.9047,6439832.9658,-3.10,-105.90,20.30,105.95
2024-09-15,01:44:34.520,476345.4009,6439835.9309,-2.50,-106.00,20.30,106.03
2024-09-15,01:44:36.359,476348.7445,6439839.2949,-2.90,-106.00,20.50,106.04
2024-09-15,01:44:38.209,476351.3932,6439842.9987,-3.00,-106.10,20.50,106.14
2024-09-15,01:44:40.036,476355.4715,6439846.1581,-2.20,-106.00,20.60,106.02
2024-09-15,01:44:41.880,476357.9982,6439849.5123,-2.70,-106.10,20.50,106.13
2024-09-15,01:44:43.712,476362.4319,6439852.5804,-1.50,-106.00,20.90,106.01
2024-09-15,01:44:45.550,476365.0070,6439855.9391,-2.30,-105.90,20.50,105.92
2024-09-15,01:44:47.407,476367.9769,6439859.6532,-3.40,-106.10,20.50,106.15
2024-09-15,01:44:51.083,476375.1186,6439866.0297,-4.40,-105.70,20.50,105.79
2024-09-15,01:44:52.921,476377.9730,6439869.7288,-5.20,-105.60,20.60,105.73
2024-09-15,01:44:54.762,476381.0898,6439872.9319,-6.60,-105.50,20.60,105.71
2024-09-15,01:44:56.596,476384.3604,6439876.3561,-6.10,-105.50,20.80,105.68
2024-09-15,01:44:58.446,476388.2301,6439878.9932,-6.70,-105.40,20.80,105.61
2024-09-15,01:45:00.289,476390.3357,6439883.3612,-7.20,-105.40,20.80,105.65
2024-09-15,01:45:02.135,476394.2024,6439886.0953,-7.20,-105.10,20.80,105.35
2024-09-15,01:45:03.980,476397.6324,6439889.3567,-6.70,-105.00,20.80,105.21
2024-09-15,01:45:05.815,476400.9166,6439893.0268,-6.90,-104.60,20.70,104.83
2024-09-15,01:45:07.659,476404.1050,6439896.2989,-7.00,-104.50,20.60,104.73
2024-09-15,01:45:09.496,476406.9675,6439900.1362,-7.60,-104.20,20.60,104.48
2024-09-15,01:45:11.336,476410.9647,6439903.0280,-7.00,-103.90,20.60,104.14
2024-09-15,01:45:13.179,476414.2229,6439906.2895,-7.10,-103.60,20.50,103.84
2024-09-15,01:45:15.016,476417.7909,6439909.8017,-6.80,-103.40,20.60,103.62
2024-09-15,01:45:16.877,476420.3380,6439913.8291,-8.10,-102.90,20.40,103.22
2024-09-15,01:45:18.709,476423.7634,6439917.3769,-7.20,-102.60,20.50,102.85
2024-09-15,01:45:20.543,476428.0965,6439919.7617,-5.70,-102.50,20.40,102.66
2024-09-15,01:45:22.391,476430.1745,6439924.1607,-6.00,-102.30,20.50,102.48
2024-09-15,01:45:24.233,476434.3548,6439926.6761,-4.50,-102.20,20.30,102.30
2024-09-15,01:45:26.076,476437.2972,6439930.2901,-4.00,-102.20,20.50,102.28
2024-09-15,01:45:27.916,476440.8131,6439933.2246,-2.90,-102.10,20.70,102.14
2024-09-15,01:45:29.747,476443.2554,6439936.8076,-3.20,-102.10,20.40,102.15
