Date,Sonardyne Time,SSS CoG Easting,SSS CoG Northing,Sonardyne X,Sonardyne Y,Sonardyne Z,Sonardyne Range
2024-09-18,10:54:43.262,475912.9200,6431493.1893,8.80,-107.40,23.80,107.76
2024-09-18,10:54:45.101,475909.3382,6431493.6297,9.20,-107.40,23.80,107.79
2024-09-18,10:54:46.951,475905.0266,6431494.0177,9.70,-107.20,23.90,107.64
2024-09-18,10:54:48.786,475901.0193,6431493.6032,9.40,-107.40,23.80,107.81
2024-09-18,10:54:50.628,475896.7502,6431493.7866,9.40,-107.30,23.90,107.71
2024-09-18,10:54:52.466,475892.6530,6431494.3771,10.10,-107.30,23.80,107.77
2024-09-18,10:54:54.302,475888.4602,6431494.9683,10.80,-107.20,23.90,107.74
2024-09-18,10:54:56.141,475884.3549,6431494.0903,9.90,-107.30,23.90,107.76
2024-09-18,10:54:57.992,475880.1405,6431493.9805,9.60,-107.30,23.90,107.73
2024-09-18,10:54:59.835,475875.9368,6431494.8400,10.20,-107.20,24.00,107.68
2024-09-18,10:55:01.692,475871.7461,6431494.6740,9.90,-107.20,24.00,107.66
2024-09-18,10:55:03.520,475867.5750,6431494.8410,9.70,-107.20,24.10,107.64
2024-09-18,10:55:05.362,475863.4600,6431494.8918,9.50,-107.20,24.10,107.62
2024-09-18,10:55:10.208,475852.6394,6431495.4198,9.20,-107.30,24.30,107.69
2024-09-18,10:55:12.036,475848.7293,6431495.5923,9.20,-107.50,24.50,107.89
2024-09-18,10:55:13.878,475844.7851,6431495.5533,8.90,-107.70,24.40,108.07
2024-09-18,10:55:15.723,475839.8982,6431495.5465,8.70,-107.00,24.10,107.35
2024-09-18,10:55:17.563,475835.6114,6431495.1953,8.30,-106.80,23.90,107.12
2024-09-18,10:55:19.412,475831.3197,6431495.9374,8.90,-106.60,24.00,106.97
2024-09-18,10:55:21.255,475827.0821,6431495.7925,8.60,-106.50,24.10,106.85
2024-09-18,10:55:24.925,475818.5914,6431496.0283,8.80,-106.20,23.90,106.56
2024-09-18,10:55:26.777,475814.2725,6431496.7046,9.60,-105.90,23.80,106.33
2024-09-18,10:55:28.633,475810.0105,6431496.6724,9.40,-105.80,23.90,106.22
2024-09-18,10:55:30.465,475805.6293,6431496.8436,9.20,-105.60,24.00,106.00
2024-09-18,10:55:32.299,475801.5375,6431497.2556,9.50,-105.50,23.90,105.93
2024-09-18,10:55:35.208,475794.7132,6431496.8133,8.60,-105.30,23.90,105.65
2024-09-18,10:55:37.049,475790.6542,6431497.4094,9.10,-105.20,23.90,105.59
2024-09-18,10:55:38.891,475786.4285,6431496.8273,8.20,-105.20,23.80,105.52
2024-09-18,10:55:40.720,475782.0482,6431497.5578,8.70,-104.80,23.60,105.16
2024-09-18,10:55:42.567,475777.7990,6431497.7171,8.90,-104.70,23.70,105.08
2024-09-18,10:55:44.397,475773.8104,6431498.2882,9.40,-104.60,23.70,105.02
2024-09-18,10:55:46.228,475769.6028,6431498.0373,9.10,-104.60,23.90,105.00
2024-09-18,10:55:48.064,475765.4686,6431498.2382,9.30,-104.50,23.80,104.91
2024-09-18,10:55:49.915,475761.4031,6431498.5148,9.60,-104.50,23.90,104.94
2024-09-18,10:55:51.758,475757.3237,6431498.5334,9.30,-104.50,23.90,104.91
2024-09-18,10:55:53.595,475753.1953,6431498.8776,9.50,-104.50,23.90,104.93
2024-09-18,10:55:55.419,475749.2013,6431498.9162,9.20,-104.50,23.80,104.90
2024-09-18,10:55:57.276,475745.0850,6431498.7158,8.50,-104.60,23.90,104.94
2024-09-18,10:55:59.102,475741.0869,6431499.0106,8.10,-104.70,23.90,105.01
2024-09-18,10:56:00.946,475736.9265,6431499.1818,7.70,-104.70,23.90,104.98
2024-09-18,10:56:02.791,475732.8712,6431499.2933,7.40,-104.70,23.80,104.96
2024-09-18,10:56:04.636,475728.8029,6431498.0275,5.40,-104.90,23.80,105.04
2024-09-18,10:56:06.480,475724.6322,6431499.7252,6.90,-104.70,23.90,104.93
2024-09-18,10:56:08.306,475720.6635,6431499.7539,6.60,-104.80,23.80,105.01
2024-09-18,10:56:10.172,475716.5097,6431500.1246,6.60,-104.80,23.80,105.01
2024-09-18,10:56:11.999,475712.4815,6431500.0852,6.50,-104.80,23.90,105.00
